title,description,provider,provider_url,downloads_piped,downloads_n,metadatas_piped,metadatas_n
Avian Higher Collision Sensitivity Species Richness,"This layer provides access to an avian group species richness map made available by the Marine-life Data and Analysis Team (MDAT) led by the Duke University Marine Geospatial Ecology Lab, and including NOAA National Centers for Coastal Ocean Science, NOAA Northeast Fisheries Science Center, and Loyola University Chicago. This layer demonstrates relative vulnerability to collision with offshore wind energy projects (Robinson Willmott et al. 2013). For all avian species together, total species richness maps are calculated in a GIS by stacking each individual species’ predicted presence and counting the total number of species present in each cell. A species is considered present in a cell if the model predicts density above a certain very low density threshold. That threshold is determined by defining the smallest area holding 95% of the total predicted abundance for the species.

These species are included: Arctic tern; Atlantic puffin; Audubon's shearwater; Black guillemot; Black scoter; Black-legged kittiwake; Common eider; Common loon; Common murre; Common tern; Cory's shearwater; Double-crested cormorant; Great black-backed gull; Great shearwater; Herring gull; Horned grebe; Laughing gull; Leach's storm petrel; Long-tailed duck; Manx shearwater; Northern fulmar; Northern gannet; Pomarine jaeger; Razorbill; Red phalarope; Red-necked phalarope; Red-throated loon; Roseate tern; Sooty shearwater; Surf scoter; White-winged scoter; Wilson's storm petrel. Note: this raster layer is not compatible with ArcGIS Online.",Marine-Life Data and Analysis Team,http://seamap.env.duke.edu/models/mdat/,http://seamap.env.duke.edu/models/mdat/Avian/MDAT_AvianModels_SummaryProducts_v1_1.zip,1,http://seamap.env.duke.edu/models/mdat/Avian/MDAT_Avian_Summary_Products_v1_1_2016_08_29_Metadata.pdf,1
Avian Higher Displacement Sensitivity Abundance,"This layer provides access to an avian group abundance map made available by the Marine-life Data and Analysis Team (MDAT) led by the Duke University Marine Geospatial Ecology Lab, and including NOAA National Centers for Coastal Ocean Science, NOAA Northeast Fisheries Science Center, and Loyola University Chicago. This layer demonstrates relative vulnerability to displacement with offshore wind energy projects (Robinson Willmott et al. 2013). For all avian species together, total relative abundance maps are calculated in a GIS by stacking each individual species’ predicted annual long-term average relative abundance layers and summing the values of the cells. The result is the total predicted long-term average relative abundance of all individuals (of the included species in the group) in that cell. It is important to note these products represent and reflect relative abundance, not predicted absolute abundance.

These species are included: Arctic tern; Atlantic puffin; Black guillemot; Black scoter; Common eider; Common loon; Common murre; Common tern; Great black-backed gull; Long-tailed duck; Manx shearwater; Northern gannet; Razorbill; Red-throated loon; Roseate tern; Surf scoter; White-winged scoter. Note: this raster layer is not compatible with ArcGIS Online.",Marine-Life Data and Analysis Team,http://seamap.env.duke.edu/models/mdat/,http://seamap.env.duke.edu/models/mdat/Avian/MDAT_AvianModels_SummaryProducts_v1_1.zip,1,http://seamap.env.duke.edu/models/mdat/Avian/MDAT_Avian_Summary_Products_v1_1_2016_08_29_Metadata.pdf,1
Avian Higher Displacement Sensitivity Species Richness,"This layer provides access to an avian group species richness map made available by the Marine-life Data and Analysis Team (MDAT) led by the Duke University Marine Geospatial Ecology Lab, and including NOAA National Centers for Coastal Ocean Science, NOAA Northeast Fisheries Science Center, and Loyola University Chicago. This layer demonstrates relative vulnerability to displacement with offshore wind energy projects (Robinson Willmott et al. 2013). For all avian species together, total species richness maps are calculated in a GIS by stacking each individual species’ predicted presence and counting the total number of species present in each cell. A species is considered present in a cell if the model predicts density above a certain very low density threshold. That threshold is determined by defining the smallest area holding 95% of the total predicted abundance for the species.

These species are included: Arctic tern; Atlantic puffin; Black guillemot; Black scoter; Common eider; Common loon; Common murre; Common tern; Great black-backed gull; Long-tailed duck; Manx shearwater; Northern gannet; Razorbill; Red-throated loon; Roseate tern; Surf scoter; White-winged scoter. Note: this raster layer is not compatible with ArcGIS Online.",Marine-Life Data and Analysis Team,http://seamap.env.duke.edu/models/mdat/,http://seamap.env.duke.edu/models/mdat/Avian/MDAT_AvianModels_SummaryProducts_v1_1.zip,1,http://seamap.env.duke.edu/models/mdat/Avian/MDAT_Avian_Summary_Products_v1_1_2016_08_29_Metadata.pdf,1
Avian Species Richness,"This layer provides access to an avian species richness map made available by the Marine-life Data and Analysis Team (MDAT) led by the Duke University Marine Geospatial Ecology Lab, and including NOAA National Centers for Coastal Ocean Science, NOAA Northeast Fisheries Science Center, and Loyola University Chicago. For all avian species together, total species richness maps are calculated in a GIS by stacking each individual species’ predicted presence and counting the total number of species present in each cell. A species is considered present in a cell if the model predicts relative abundance above a certain very low threshold. That threshold is determined by defining the smallest area holding 95% of the total predicted abundance for the species.

The summary map products provide a means to distill multiple layers and time periods into simplified maps and build a general understanding of the ecological richness or abundance in a particular area. Development of these maps required decisions and thresholds that are explained in the Metadata and Publication links. These decisions were made after conducting research, testing of several options, and incorporating feedback from expert work group members. Understanding these decisions and thresholds is crucial to proper interpretation of these map products. Note: this raster layer is not compatible with ArcGIS Online.",Marine-Life Data and Analysis Team,http://seamap.env.duke.edu/models/mdat/,http://seamap.env.duke.edu/models/mdat/Avian/MDAT_AvianModels_SummaryProducts_v1_1.zip,1,http://seamap.env.duke.edu/models/mdat/Avian/MDAT_Avian_Summary_Products_v1_1_2016_08_29_Metadata.pdf,1
Avian Total Relative Abundance,"This layer provides access to an avian total relative abundance data map made available by the Marine-life Data and Analysis Team (MDAT) led by the Duke University Marine Geospatial Ecology Lab, and including NOAA National Centers for Coastal Ocean Science, NOAA Northeast Fisheries Science Center, and Loyola University Chicago. For all avian species together, total relative abundance maps are calculated in a GIS by stacking each individual species’ predicted annual long-term average relative abundance layers and summing the values of the cells. The result is the total predicted long-term average relative abundance of all individuals (of the included species in the group) in that cell. It is important to note these products represent and reflect relative abundance, not predicted absolute abundance.

The summary map products provide a means to distill multiple layers and time periods into simplified maps and build a general understanding of the ecological richness or abundance in a particular area. Development of these maps required decisions and thresholds that are explained in the Metadata and Publication links. These decisions were made after conducting research, testing of several options, and incorporating feedback from expert work group members. Understanding these decisions and thresholds is crucial to proper interpretation of these map products. Note: this raster layer is not compatible with ArcGIS Online.",Marine-Life Data and Analysis Team,http://seamap.env.duke.edu/models/mdat/,http://seamap.env.duke.edu/models/mdat/Avian/MDAT_AvianModels_SummaryProducts_v1_1.zip,1,http://seamap.env.duke.edu/models/mdat/Avian/MDAT_Avian_Summary_Products_v1_1_2016_08_29_Metadata.pdf,1
Bathymetric Contours,"Bathymetric contours extracted from the Coastal Relief Model. Coastal bathymetric depth, measured in meters at depth values of:
-10, -20, -30, -40, -50, -60, -70, -80, -90, -100, -150 -200, -400, -600",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/BathymetricContours.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/BathymetricContours.xml&f=html,1
Benthic Cover,"Benthic cover (habitat) maps are derived from aerial imagery, underwater photos, acoustic surveys, and data gathered from sediment samples. Shallow to moderate-depth benthic habitat information assists ecosystem-based marine resource management. Many habitats, including hard and soft corals, are home to a diversity of marine organisms, which provide many important ecosystem services, including fishing, tourism, water quality enhancement, and shoreline protection. Coral reef ecosystems and associated bottom types are under increasing pressure from environmental and anthropogenic stressors. Mitigating these threats requires analyzing their spatial distribution, making benthic habitat mapping a key component to the conservation and management activities of state and federal agencies.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/BenthicCover.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/BenthicCover.xml&f=html,1
Biologically Important Areas for Cetaceans - Feeding,"Feeding Biologically Important Areas (BIAs) for Cetaceans include areas and months within which a particular species or population selectively feeds. These may either be found consistently in space and time, or may be associated with ephemeral features that are less predictable but can be delineated and are generally located within a larger identifiable area. BIAs were defined by compiling the best available information from scientific literature (including books, peer-reviewed articles, and government or contract reports), unpublished data (sighting, acoustic, tagging, genetic, photo identification), and expert knowledge. This information was then used to create written summaries and maps highlighting areas shoreward of the U.S. Exclusive Economic Zone that are biologically important to cetacean species (or populations), either seasonally or year-round. Other BIA types include migratory corridor, reproduction, and small and resident population.",NOAA National Marine Fisheries Service,http://www.nmfs.noaa.gov/,http://cetsound.noaa.gov/Assets/cetsound/data/CetMap_BIA_WGS84.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/BiologicallyImportantAreasCetaceans.xml&f=html|https://inport.nmfs.noaa.gov/inport/item/23643,2
Biologically Important Areas for Cetaceans - Migratory Corridor,"Migratory Corridor Biologically Important Areas (BIAs) for Cetaceans include areas and months within which a substantial portion of a species or population is known to migrate. BIAs were defined by compiling the best available information from scientific literature (including books, peer-reviewed articles, and government or contract reports), unpublished data (sighting, acoustic, tagging, genetic, photo identification), and expert knowledge. This information was then used to create written summaries and maps highlighting areas shoreward of the U.S. Exclusive Economic Zone that are biologically important to cetacean species (or populations), either seasonally or year-round. Other BIA types include feeding, reproduction, and small and resident population.",NOAA National Marine Fisheries Service,http://www.nmfs.noaa.gov/,http://cetsound.noaa.gov/Assets/cetsound/data/CetMap_BIA_WGS84.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/BiologicallyImportantAreasCetaceans.xml&f=html|https://inport.nmfs.noaa.gov/inport/item/23643,2
Biologically Important Areas for Cetaceans - Reproduction,"Reproduction Biologically Important Areas (BIAs) for Cetaceans include areas and months within which a particular species or population selectively mates, gives birth, or is found with neonates or other sensitive age classes. BIAs were defined by compiling the best available information from scientific literature (including books, peer-reviewed articles, and government or contract reports), unpublished data (sighting, acoustic, tagging, genetic, photo identification), and expert knowledge. This information was then used to create written summaries and maps highlighting areas shoreward of the U.S. Exclusive Economic Zone that are biologically important to cetacean species (or populations), either seasonally or year-round. Other BIA types include feeding, migratory corridor, and small and resident population.",NOAA National Marine Fisheries Service,http://www.nmfs.noaa.gov/,http://cetsound.noaa.gov/Assets/cetsound/data/CetMap_BIA_WGS84.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/BiologicallyImportantAreasCetaceans.xml&f=html|https://inport.nmfs.noaa.gov/inport/item/23643,2
Biologically Important Areas for Cetaceans - Small and Resident Population,"Small and Resident Population Biologically Important Areas (BIAs) for Cetaceans include areas and months within which small and resident populations occupying a limited geographic extent. BIAs were defined by compiling the best available information from scientific literature (including books, peer-reviewed articles, and government or contract reports), unpublished data (sighting, acoustic, tagging, genetic, photo identification), and expert knowledge. This information was then used to create written summaries and maps highlighting areas shoreward of the U.S. Exclusive Economic Zone that are biologically important to cetacean species (or populations), either seasonally or year-round. Other BIA types include migratory corridor, reproduction, and feeding.",NOAA National Marine Fisheries Service,http://www.nmfs.noaa.gov/,http://cetsound.noaa.gov/Assets/cetsound/data/CetMap_BIA_WGS84.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/BiologicallyImportantAreasCetaceans.xml&f=html|https://inport.nmfs.noaa.gov/inport/item/23643,2
Block Island Transmission Cables,"This layer represents the location of the submarine cables for the Block Island Wind Farm (BIWF) and Block Island Transmission System (BITS). The cables that connect directly to the wind farm will consist of the Inter Array cable, which will interconnect each turbine, and the Export cable, which connects the northernmost turbine with Block Island. The BITS will be a submarine cable that connects Block Island with the Rhode Island mainland which will deliver power to and from the mainland.",Northeast Ocean Data Portal,http://www.northeastoceandata.org/,http://www.northeastoceandata.org/files/metadata/Themes/EnergyAndInfrastructure.zip,1,http://www.northeastoceandata.org/files/metadata/Themes/EnergyAndInfrastructure/BlockIslandTransmissionCables.pdf,1
Block Island Wind Turbine Locations,"The Block Island Wind Farm (BIWF) is a 30-megawatt offshore wind farm located approximately three miles southeast of Block Island. The BIWF will generate over 125,000 megawatt hours annually. Deepwater Wind began offshore construction in 2015. This dataset shows the locations of the BIWF wind turbine generators. For additional information, consult the project overview at: http://dwwind.com/project/block-island-wind-farm/.",Northeast Ocean Data Portal,http://www.northeastoceandata.org/,http://www.northeastoceandata.org/files/metadata/Themes/EnergyAndInfrastructure.zip,1,http://www.northeastoceandata.org/files/metadata/Themes/EnergyAndInfrastructure/BlockIslandWindFarmTurbineLocations.pdf,1
"Blue Whale, Pacific Summer Density","The Navy and other military users of the marine environment are required to assess the impact of their activities on marine mammals to comply with the Marine Mammal Protection Act, the Endangered Species Act, and the National Environmental Policy Act. The number of marine mammals that might be impacted by Navy activities must be estimated in an Environmental Assessment or Environmental Impact Statement.  A key element of this estimation is knowledge of cetacean densities in specific areas where those activities will occur.  Data collected by NOAA’s Southwest Fisheries Science Center (SWFSC) from 1986-2006 using accepted, peer-reviewed survey methods were used to develop models to forecast cetacean densities. This work represents an important step towards understanding marine mammal habitat use with respect to regions utilized by the U. S. Navy.  MarineCadastre.gov has included Blue, Fin, Humpback, and Sperm whale models for the summer months as examples of these models.  Please view the publication for specific details on the development and use of these models.  NOTE:  Updated Pacific models should be available in mid-2017.",NOAA National Marine Fisheries Service,http://www.nmfs.noaa.gov/,http://cetsound.noaa.gov/packages/swfsc_serdp_cce.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/MarineCadastre/no_harvest/BlueWhalePacificSummer.xml&f=html,1
BOEM Block Aliquots,"Aliquots are generated from full OCS blocks by sub-dividing each block into 16ths and allow for more detailed boundary delineation in offshore energy leasing. The aliquots use a letter designation in addition to their parent protraction number and OCS block number (i.e. NK-1802, 6822F). A full OCS block is 4800 x 4800 meters, while an aliquot measures 1200 x 1200 meters. Smaller, clipped aliquots are found along the Fed/State OCS boundary and along UTM zone borders. This dataset includes aliquots for 60 protractions out of the available 80 protractions in the Atlantic and 36 of 71 off the US West Coast . The remaining 56 protractions are located on the seaward edge of the OCS . Aliquots for these protractions will be produced at a later date as needed.
Not to be used for official BOEM lease documents.  Planning uses only.",Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/ATL_ALIQUOTS.aspx|http://www.boem.gov/uploadedFiles/BOEM/Oil_and_Gas_Energy_Program/Mapping_and_Data/Pacific_files/PC_ALIQUOTS.zip,2,http://metadata.boem.gov/geospatial/BOEM_Block_Aliquots_atl.xml,1
BOEM MHK Planning Areas,"This data set represents the most recent changes for the Marine Hydrokinetic (MHK) Development Planning Areas in the Outer Continental Shelf. MHK Planning Areas in this dataset represent up to six different types of announcements within the US Federal Register that can be used to show the current status of an area that is being considered for wave, current, or tidal power development.",Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.arcgis.com/home/item.html?id=84db65bd82d541258d3f4fb79c675ad8,1,http://metadata.boem.gov/geospatial/BOEM_MHK_PlanningAreas.xml,1
BOEM Oil and Gas Planning Areas,"BOEM Planning areas are used to divide the Outer Continental Shelf into smaller more manageable regions for the purpose of planning and defining areas of potential lease sales within the Oil and Gas Leasing 5 year Program Plan.  There are currently 26 planning areas within the OCS.  Fifteen of these areas are in Alaska.  Lease sales will usually occur for only one planning area at a time.  The 5 year program identifies which planning areas may have sales within the next 5 years. If areas are not identified for potential lease sales in the 5 year program, new areas cannot be added for lease within that 5 year period.",Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/Alaska/planarea.aspx|http://www.boem.gov/ATL-PLAN.zip|https://www.data.boem.gov/Mapping/Files/planarea.zip|http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/Pacific-files/PC_PLANAREA.aspx,4,http://metadata.boem.gov/geospatial/ATL_PLAN.xml|http://metadata.boem.gov/geospatial/OCS_PlanningAreas_Alaska_NAD83.xml|http://metadata.boem.gov/geospatial/pc_plan.xml|http://www.data.boem.gov/homepg/pubinfo/repcat/arcinfo/zipped/gomr_planningareas.htm,4
BOEM Wind Planning Areas,"This data set represents the most recent changes for the Wind Development Planning Areas in federally managed offshore waters. Wind Planning Areas in this dataset represent up to seven different types of announcements within the US Federal Register that can be used to show the current status of an area that is being considered for Wind Power Development. For the areas represented here, once an area has changed from one type of area to another, it will be replaced entirely by the new area. In many cases the area may be more than one type of area at the same time.  The Category or Info attribute will show the reader which type of category the area is.  The types of areas and their descriptions can be found in the attributes section of the metadata record.",Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.boem.gov/uploadedFiles/BOEM/Renewable_Energy_Program/Mapping_and_Data/Wind_Planning_Areas.zip,1,http://metadata.boem.gov/geospatial/BOEM_Wind_Planning_Areas.xml,1
California Seafloor Mapping Index,"The California Seafloor Mapping Program (CSMP) has divided coastal California into 110 map blocks, each to be published individually as USGS Open-File Reports or Scientific Investigations Maps at a scale of 1:24,000. For each map block, CSMP has created data layers for bathymetry, bathymetric contours, acoustic backscatter, seafloor character, potential benthic habitat, and offshore geology. In addition, CSMP has compiled regional-scale data layers for sediment thickness, depth to transition, transgressive contours, isopachs, and predicted distributions of benthic macro-invertebrates, as well as visual observations of benthic habitat from video cruises over the entire state. Note, however, that not all data layers are available for all map blocks, owing to insufficient data. Also, some map blocks may include additional data layers that record certain unique characteristics or features not present in other areas.  Please note: Only the index layer is available in MarineCadastre.gov, not the seafloor data.  This layer is currently only available to add to ArcGIS.com.",U.S. Geological Survey,http://www.usgs.gov/,http://pubs.usgs.gov/ds/781/,1,http://walrus.wr.usgs.gov/mapping/csmp/metadata.txt,1
Clean Water Act,"This data represents geographic terms used within the Clean Water Act (CWA). The CWA establishes the basic structure for regulating the addition of pollutants (discharges) into waters of the United States, a three mile territorial sea, a 12 mile contiguous zone, and the ocean. The goal of the CWA is to restore and maintain the chemical, physical, and biological integrity of the Nation’s waters. This data includes two component boundaries, which delineate the seaward extent of various parts of the CWA. The boundary of a three mile territorial sea and 12 mile contiguous zone are relevant to application of various discharge standards associated with vessels or other floating craft, that vary depending on operational status. As referenced within the CWA, these two boundaries are based on the 1958 Convention on the Territorial Sea and the Contiguous Zone, and not the contemporary extent of these respective boundaries. While the Exclusive Economic Zone (EEZ) is not specified with the CWA, it is denoted here for illustrative purposes. When investigating geo-regulatory boundaries near the boundary edges, users should consult the most up-to-date applicable jurisdictional boundaries from all respective authoritative sources.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://coast.noaa.gov/pub/Legis-Atlas/FederalGeoregulations/CleanWaterAct.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/CleanWaterAct.xml&f=html,1
Coastal Barrier Resources System,"To remove the federal incentive to develop coastal barriers, the Coastal Barrier Resources Act (CBRA) designated relatively undeveloped coastal barriers along the Atlantic and Gulf coasts as part of the John H. Chafee Coastal Barrier Resources System (CBRS).  This Act made these areas ineligible for most new federal expenditures and financial assistance.  CBRA encourages the conservation of hurricane prone, biologically rich coastal barriers by restricting federal expenditures that encourage development, such as federal flood insurance. The CBRS data provided on MarineCadastre.gov are only representations of the official boundaries and are NOT to be considered authoritative.  They can be used to help stakeholders determine whether or not properties or project sites may be affected by CBRA, but not to make official determinations. Please view the Source Info for specific restrictions and use constraints.  Please note there are multiple layers within this service. Please zoom in to view these.",U.S. Fish and Wildlife Service,http://www.fws.gov/,https://www.fws.gov/ecological-services/habitat-conservation/cbra/Maps/a/CBRS_Polygons.zip|http://www.fws.gov/CBRA/Maps/Boundaries.html,2,http://www.fws.gov/ecological-services/habitat-conservation/cbra/maps/CBRS-Metadata.xml,1
Coastal Critical Habitat Designations,"The Endangered Species Act (ESA) requires the Federal government to designate critical habitat, areas of habitat believed to be essential to the species’ conservation, for any ESA listed species. This dataset is a compilation of the NOAA National Marine Fisheries Service and the U.S. Fish & Wildlife Service designated critical habitat in coastal areas. Critical habitat is defined as:
Specific areas within the geographical area occupied by the species at the time of listing, if they contain physical or biological features essential to conservation, and those features may require special management considerations or protection; and
Specific areas outside the geographical area occupied by the species if the agency determines that the area itself is essential for conservation.
It is important to keep in mind that these maps are only for illustrative purposes. Federal Register text descriptions should be used for authoritative purposes.
See metadata for online linkages to reference full listings of proposed and final critical habitat areas.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/CriticalHabitatDesignations.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/CoastalCriticalHabitatDesignations.xml&f=html,1
Coastal Energy Facilities,"These data depict the location of facilities that generate electricity. The locations are created from the Environmental Protection Agency Emissions & Generation Resource Integrated Database (eGRID). Only facilities adjacent to the coast and Great Lakes are shown. Contained within the database are records that define the fuel source and other characteristics of the facility that may benefit ocean planners. In some cases, the presence of a facility may indicate that certain power transmission infrastructure exists nearby. Absence of a facility or lack of sufficient capacity at a facility in a given area may also be an important characteristic in future energy planning activities. Please keep in mind this is not representative of the whole eGRID. This dataset can be linked back to the additional content of the eGRID by downloading the data and joining it back to the eGRID spreadsheet.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/CoastalEnergyFacilities.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/CoastalEnergyFacilities.xml&f=html,1
Coastal Maintained Channels,"This layer shows coastal channels and waterways that are maintained and surveyed by the U.S. Army Corps of Engineers (USACE). These channels are necessary transportation systems that serve economic and national security interests.
The possibility of silting is always present. Local authorities should be consulted for the controlling depth. NOS Charts frequently show controlling depths in a table, which is kept current by the US Coast Guard Local Notice to Mariners.
These data are intended for coastal and ocean use planning. Not for navigation.",U.S. Army Corps of Engineers,http://www.usace.army.mil/,http://encdirect.noaa.gov/theme_layers/data/coastal_maintained_channels/maintainedchannels.zip,1,http://gis.charttools.noaa.gov/ocs_metadata/public/fgdc/enc_coastal_maint_chnls.xml,1
Coastal Tribal Lands,"This dataset obtained from the Bureau of Indian Affairs depicts feature location, selected demographics, and other associated data for American Indian Reservations (AIR), Alaska Native Villages (ANV), Federally Recognized Tribal Entities (FRTE), Public Domain Allotments (PDAs), and off-reservation trust lands. 
This is NOT a complete collection of tribal lands, nor are the locations to be considered exact. The presence and location of the tribal lands have been derived from multiple sources. These data are intended for coastal and ocean planning.",U.S. Bureau of Indian Affairs,http://www.bia.gov/WhoWeAre/BIA/index.htm,ftp://ftp.coast.noaa.gov/pub/MSP/CoastalTribalLands.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/CoastalTribalLands.xml&f=html,1
Coastal Zone Management Act Boundary,"This data represents the extent of the nation's coastal zone, as defined by the individual states and territories under the Coastal Zone Management Act of 1972 (CZMA). The CZMA was established to preserve, protect, develop, and where possible, to restore or enhance the resources of the nation's coastal zone.  The zone generally extends seaward to the boundary of the Submerged Lands Act. The zone extends inland from the shorelines only to the extent necessary to control shorelands that have a direct and significant impact on coastal waters.  Lands held in trust by the Federal Government have been included in this boundary unless otherwise noted, as accurately representing these could be erroneous.  This boundary is unofficial. For precise, regulatory boundaries please contact the state or territorial coastal program office.",NOAA Office for Coastal Management,https://coast.noaa.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/CoastalZoneManagementActBoundary.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/CoastalZoneManagementActBoundary.xml&f=html,1
COLREGS Demarcation Lines,"U.S. collision regulation boundaries are lines of demarcation delineating those waters upon which mariners shall comply with the International Regulations for Preventing Collisions at Sea, 1972 (72 COLREGS) and those waters upon which mariners shall comply with the Inland Navigation Rules. The waters inland of these lines are subject to the Inland Navigation Rules Act of 1980. The waters outside these lines are subject to the International Navigation Rules of the International Regulations for Preventing Collisions at Sea, 1972 (COLREGS). The Coast Guard has the legal authority to effect regulatory changes to COLREGS. Creation of features was interpreted from descriptions published in the Code of Federal Regulations Title 33, Part 80.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/COLREGSDemarcationLines.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/COLREGSDemarcationLines.xml&f=html,1
"Comprehensive Environmental Response, Compensation and Liability Act","This data represents geographic terms used within the Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA). CERCLA, commonly known as Superfund, provides a federal ""superfund"" to clean up uncontrolled or abandoned hazardous waste sites as well as accidents, spills, and other emergency releases of pollutants and contaminants into the environment. The CERCLA gave the U.S. Environmental Protection Agency (EPA) power to seek out those parties responsible for any release of pollutants and contaminants, and assure their cooperation in the cleanup. If interested in knowing the location of Superfund sites, please refer to the layer called ""Superfund Sites"". When investigating geo-regulatory boundaries near the boundary edges, users should consult the most up-to-date applicable jurisdictional boundaries from all respective authoritative sources.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://coast.noaa.gov/pub/Legis-Atlas/FederalGeoregulations/ComprehensiveEnvironmentalResponseCompensationAndLiabilityAct.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/ComprehensiveEnvironmentalResponseCompensationandLiabilityAct.xml&f=html,1
Congressional Districts,"This layer depicts the 115th Congressional Districts for the United States, with attributes listing the elected officials for the 115th Congress. Elected to a two-year term, each representative serves the people of a specific congressional district by introducing bills and serving on committees, among other duties. The districts are symbolized by the political party of the current representative.",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/CongressionalDistricts.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/CongressionalDistricts.xml&f=html,1
Danger Zones and Restricted Areas,"These data represent the location of Danger Zones and Restricted Areas within coastal and marine waters, as outlined by the Code of Federal Regulations (CFR) and the Raster Navigational Charts (RNC).  The CFR defines a Danger Zone as, ""A defined water area (or areas) used for target practice, bombing, rocket firing or other especially hazardous operations, normally for the armed forces.  The danger zones may be closed to the public on a full-time or intermittent basis, as stated in the regulations.""  The CFR defines a Restricted Area as, ""A defined water area for the purpose of prohibiting or limiting public access to the area. Restricted areas generally provide security for Government property and/or protection to the public from the risks of damage or injury arising from the Government's use of that area.""  Authoritative information relating to these data may be found in Title 33, Chapter II of the CFR (Part 334).",MarineCadastre.gov,http://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/DangerZonesAndRestrictedAreas.zip,1,https://coast.noaa.gov/dataservices/Metadata/TransformMetadata?u=https://coast.noaa.gov/data/Documents/Metadata/harvest/MarineCadastre/DangerZonesAndRestrictedAreas.xml&f=html,1
Deep-Sea Coral Observations,"The National Oceanic and Atmospheric Administration (NOAA) Deep Sea Coral Research and Technology Program (DSCRTP) have developed a National Database for Deep-Sea Corals and Sponges (database). The database is designed to compile and disseminate existing biological observations on deep-sea corals and sponges and their locations, and serve as a primary data outlet for new spatial data records from the DSCRTP’s funded research. These data are made available in standard formats that are useful to scientists, natural resource managers, and the public through an online map portal at https://deepseacoraldata.noaa.gov.  Please note this layer may be slow to draw due to its geographic extent and breadth of data.",NOAA National Centers for Coastal Ocean Science,https://coastalscience.noaa.gov/,https://deepseacoraldata.noaa.gov/website/AGSViewers/DeepSeaCorals/mapSites.htm,1,https://deepseacoraldata.noaa.gov/metadata-records/iso-dscrtp-national-db,1
